Kategorie: Alle Kategorien

Monat,Adobe PhoneGap: (Weltweit),Apache Cordova: (Weltweit),NativeScript: (Weltweit),Appcelerator: (Weltweit),Sencha Touch: (Weltweit)
2009-01,<1,5,0,1,0
2009-02,<1,6,0,1,0
2009-03,2,7,0,1,0
2009-04,2,6,0,<1,0
2009-05,2,7,0,<1,0
2009-06,2,6,0,1,0
2009-07,2,7,<1,1,0
2009-08,1,7,0,1,0
2009-09,2,7,0,1,0
2009-10,2,8,0,1,0
2009-11,2,6,0,1,0
2009-12,3,8,0,1,0
2010-01,3,8,0,2,0
2010-02,4,10,0,3,0
2010-03,5,12,0,4,0
2010-04,7,13,0,6,0
2010-05,5,12,0,4,0
2010-06,6,16,0,5,4
2010-07,4,13,<1,5,4
2010-08,4,16,0,6,4
2010-09,5,15,0,8,5
2010-10,6,20,0,8,5
2010-11,7,18,<1,9,6
2010-12,7,16,0,7,8
2011-01,6,18,0,11,9
2011-02,11,24,0,12,14
2011-03,10,27,0,16,13
2011-04,12,30,0,15,16
2011-05,13,31,0,16,15
2011-06,14,35,0,13,21
2011-07,14,37,0,13,22
2011-08,20,47,<1,13,20
2011-09,17,41,<1,14,23
2011-10,21,52,0,12,25
2011-11,23,54,0,15,23
2011-12,18,49,<1,11,25
2012-01,23,61,0,13,23
2012-02,27,65,<1,14,30
2012-03,27,71,0,17,35
2012-04,24,70,<1,17,34
2012-05,26,74,<1,13,29
2012-06,25,76,0,14,26
2012-07,28,80,0,14,25
2012-08,24,73,<1,13,27
2012-09,25,76,0,15,24
2012-10,27,79,<1,14,23
2012-11,21,72,<1,13,21
2012-12,21,65,<1,13,18
2013-01,23,78,0,13,23
2013-02,25,78,<1,12,20
2013-03,25,77,<1,11,19
2013-04,28,84,0,11,23
2013-05,23,84,<1,10,21
2013-06,24,82,0,9,19
2013-07,22,79,<1,9,20
2013-08,22,83,0,9,19
2013-09,22,82,0,10,21
2013-10,24,91,0,10,22
2013-11,24,89,0,11,20
2013-12,19,81,<1,8,17
2014-01,20,84,0,8,18
2014-02,25,95,0,9,17
2014-03,21,100,0,8,15
2014-04,24,98,<1,10,16
2014-05,21,96,0,8,17
2014-06,20,94,<1,8,15
2014-07,19,94,0,8,11
2014-08,18,92,<1,7,15
2014-09,19,97,<1,8,13
2014-10,19,100,<1,7,12
2014-11,16,92,<1,7,11
2014-12,16,87,<1,7,10
2015-01,16,89,<1,5,10
2015-02,15,92,1,6,10
2015-03,17,96,2,6,9
2015-04,15,98,1,9,9
2015-05,15,93,2,7,9
2015-06,15,92,1,7,10
2015-07,13,95,1,7,8
2015-08,13,85,2,6,8
2015-09,12,86,1,8,7
2015-10,13,91,2,7,6
2015-11,12,88,2,6,5
2015-12,11,80,2,6,4
2016-01,9,84,3,7,5
2016-02,10,91,3,7,6
2016-03,9,90,3,7,5
2016-04,8,88,4,6,5
2016-05,8,82,5,5,4
2016-06,6,80,5,5,4
2016-07,7,74,6,6,4
2016-08,6,70,6,4,4
2016-09,6,78,6,4,3
2016-10,7,68,7,4,4
2016-11,7,76,10,4,3
2016-12,5,75,8,5,3
2017-01,5,76,9,3,3
2017-02,6,76,10,3,3
2017-03,5,81,9,4,4
2017-04,5,72,8,3,3
2017-05,5,74,10,3,3
2017-06,4,67,8,3,3
2017-07,4,62,10,3,2
2017-08,3,63,9,2,2
2017-09,4,62,10,3,2
2017-10,5,59,9,3,2
2017-11,5,63,12,2,2
2017-12,4,55,10,3,1
2018-01,3,56,11,2,2
2018-02,3,55,11,2,1
2018-03,5,56,12,2,2
2018-04,2,50,12,3,2
2018-05,2,50,11,2,1
2018-06,3,51,12,2,1
2018-07,2,48,11,2,2
2018-08,3,45,11,2,2
2018-09,3,43,11,2,1
2018-10,2,41,11,2,1
2018-11,2,41,12,1,2
2018-12,1,34,10,2,1
2019-01,2,38,11,1,1
2019-02,2,38,12,1,2
2019-03,2,37,10,1,1
2019-04,2,36,12,1,2
2019-05,2,37,11,1,1
2019-06,2,36,12,1,1
2019-07,1,39,12,1,1
2019-08,2,36,11,1,1
2019-09,2,37,12,1,1
2019-10,2,36,10,1,1
2019-11,2,30,10,1,2
2019-12,1,27,8,1,1
2020-01,1,28,8,1,1
2020-02,1,31,9,1,1
2020-03,1,27,8,<1,1
2020-04,1,25,8,<1,1
2020-05,1,26,7,1,1
2020-06,1,28,8,1,1
2020-07,1,25,8,1,1
2020-08,1,25,6,1,1
2020-09,1,23,7,1,1
2020-10,1,18,5,<1,<1
2020-11,<1,17,3,<1,1
2020-12,<1,15,3,<1,<1
2021-01,1,15,3,<1,1
2021-02,<1,16,3,<1,<1
2021-03,1,17,4,<1,1
2021-04,<1,13,3,<1,<1
2021-05,<1,14,2,<1,1
