Kategorie: Alle Kategorien

Monat,React Native: (Weltweit),Flutter: (Weltweit),Xamarin: (Weltweit),Apache Cordova: (Weltweit)
2009-01,0,5,0,2
2009-02,0,5,0,3
2009-03,0,6,0,2
2009-04,0,17,0,2
2009-05,0,6,0,3
2009-06,0,5,0,2
2009-07,0,6,0,3
2009-08,0,6,0,3
2009-09,0,6,0,2
2009-10,0,6,0,3
2009-11,0,6,0,3
2009-12,0,6,<1,4
2010-01,0,4,0,3
2010-02,0,6,0,5
2010-03,0,5,0,5
2010-04,0,5,0,6
2010-05,0,7,<1,6
2010-06,0,6,<1,6
2010-07,0,5,0,6
2010-08,0,5,0,8
2010-09,0,5,0,7
2010-10,0,5,<1,8
2010-11,0,6,0,7
2010-12,0,4,0,8
2011-01,0,4,0,8
2011-02,0,5,0,9
2011-03,0,5,0,11
2011-04,0,6,<1,12
2011-05,0,5,<1,15
2011-06,0,5,1,15
2011-07,0,6,1,14
2011-08,0,5,1,18
2011-09,0,5,<1,17
2011-10,0,5,<1,23
2011-11,0,5,1,21
2011-12,0,5,1,22
2012-01,0,4,1,26
2012-02,0,5,1,27
2012-03,0,6,1,28
2012-04,0,6,1,29
2012-05,0,5,2,31
2012-06,0,5,2,32
2012-07,0,5,1,33
2012-08,0,4,1,30
2012-09,0,5,2,32
2012-10,0,6,2,34
2012-11,0,6,2,32
2012-12,0,5,2,27
2013-01,0,6,2,30
2013-02,0,6,4,32
2013-03,0,6,7,34
2013-04,0,6,9,35
2013-05,0,5,8,33
2013-06,0,5,8,34
2013-07,0,5,9,33
2013-08,0,5,8,35
2013-09,0,6,10,36
2013-10,0,9,11,37
2013-11,0,6,12,35
2013-12,0,6,10,34
2014-01,0,6,12,36
2014-02,0,6,13,40
2014-03,0,6,15,41
2014-04,0,6,16,40
2014-05,0,6,15,40
2014-06,0,6,19,38
2014-07,0,6,19,40
2014-08,0,5,18,38
2014-09,0,6,20,40
2014-10,<1,5,20,43
2014-11,0,5,22,40
2014-12,0,5,21,40
2015-01,1,5,21,38
2015-02,2,5,24,40
2015-03,2,5,24,40
2015-04,3,7,24,40
2015-05,3,5,26,39
2015-06,3,5,25,39
2015-07,3,4,26,41
2015-08,4,5,24,36
2015-09,5,5,26,37
2015-10,6,5,24,38
2015-11,7,6,24,39
2015-12,7,5,24,34
2016-01,10,5,25,37
2016-02,12,4,32,40
2016-03,13,4,33,38
2016-04,14,5,48,36
2016-05,16,4,40,35
2016-06,19,4,47,33
2016-07,17,5,42,30
2016-08,19,4,40,28
2016-09,21,4,44,32
2016-10,23,4,44,30
2016-11,28,4,47,32
2016-12,29,4,43,31
2017-01,32,4,48,32
2017-02,38,4,51,33
2017-03,47,5,51,35
2017-04,45,5,50,31
2017-05,49,6,50,30
2017-06,53,5,47,29
2017-07,54,5,44,26
2017-08,56,4,43,26
2017-09,56,6,44,26
2017-10,57,5,42,25
2017-11,63,5,46,28
2017-12,56,5,40,23
2018-01,63,5,39,23
2018-02,67,9,42,22
2018-03,71,15,39,23
2018-04,71,14,38,22
2018-05,74,18,39,22
2018-06,74,17,36,21
2018-07,77,19,38,19
2018-08,79,20,36,20
2018-09,74,21,33,18
2018-10,75,22,34,20
2018-11,74,22,32,17
2018-12,64,36,27,14
2019-01,70,33,29,16
2019-02,74,34,31,16
2019-03,76,41,30,16
2019-04,77,41,28,16
2019-05,75,49,28,15
2019-06,81,53,28,15
2019-07,91,57,30,17
2019-08,84,58,27,15
2019-09,87,64,29,16
2019-10,87,62,29,14
2019-11,80,61,28,14
2019-12,74,66,24,12
2020-01,76,70,26,11
2020-02,86,77,28,12
2020-03,77,77,24,12
2020-04,82,84,26,11
2020-05,79,90,23,11
2020-06,83,94,24,11
2020-07,85,100,23,11
2020-08,79,100,20,11
2020-09,77,93,22,10
2020-10,55,74,19,8
2020-11,49,68,16,7
2020-12,50,69,16,7
2021-01,50,73,16,6
2021-02,53,77,17,6
2021-03,58,95,18,7
2021-04,56,84,16,6
2021-05,53,87,14,6
