Kategorie: Alle Kategorien

Monat,React Native: (Weltweit),Flutter: (Weltweit)
2009-01,0,5
2009-02,0,5
2009-03,0,6
2009-04,0,17
2009-05,0,6
2009-06,0,5
2009-07,0,6
2009-08,0,6
2009-09,0,6
2009-10,0,6
2009-11,0,6
2009-12,0,6
2010-01,0,4
2010-02,0,6
2010-03,0,5
2010-04,0,5
2010-05,0,7
2010-06,0,6
2010-07,0,5
2010-08,0,5
2010-09,0,5
2010-10,0,5
2010-11,0,6
2010-12,0,4
2011-01,0,4
2011-02,0,5
2011-03,0,5
2011-04,0,6
2011-05,0,5
2011-06,0,5
2011-07,0,6
2011-08,0,5
2011-09,0,5
2011-10,0,5
2011-11,0,5
2011-12,0,5
2012-01,0,4
2012-02,0,5
2012-03,0,6
2012-04,0,6
2012-05,0,5
2012-06,0,5
2012-07,0,5
2012-08,0,4
2012-09,0,5
2012-10,0,6
2012-11,0,6
2012-12,0,5
2013-01,0,6
2013-02,0,6
2013-03,0,6
2013-04,0,6
2013-05,0,5
2013-06,0,5
2013-07,0,5
2013-08,0,5
2013-09,0,6
2013-10,0,9
2013-11,0,6
2013-12,0,6
2014-01,0,6
2014-02,0,6
2014-03,0,6
2014-04,0,6
2014-05,0,6
2014-06,0,6
2014-07,0,6
2014-08,0,5
2014-09,0,6
2014-10,<1,5
2014-11,0,5
2014-12,0,5
2015-01,1,5
2015-02,2,5
2015-03,2,5
2015-04,3,7
2015-05,3,5
2015-06,3,5
2015-07,3,4
2015-08,4,5
2015-09,5,5
2015-10,6,5
2015-11,7,6
2015-12,7,5
2016-01,10,5
2016-02,12,4
2016-03,13,4
2016-04,14,5
2016-05,16,4
2016-06,19,4
2016-07,17,5
2016-08,19,4
2016-09,21,4
2016-10,23,4
2016-11,28,4
2016-12,29,4
2017-01,32,4
2017-02,38,4
2017-03,47,5
2017-04,45,5
2017-05,49,6
2017-06,53,5
2017-07,54,5
2017-08,56,4
2017-09,56,6
2017-10,57,5
2017-11,63,5
2017-12,56,5
2018-01,63,5
2018-02,67,9
2018-03,71,15
2018-04,71,14
2018-05,74,18
2018-06,74,17
2018-07,77,19
2018-08,79,20
2018-09,74,21
2018-10,75,22
2018-11,74,22
2018-12,64,36
2019-01,70,33
2019-02,74,34
2019-03,76,41
2019-04,77,41
2019-05,75,49
2019-06,81,53
2019-07,91,57
2019-08,84,58
2019-09,87,64
2019-10,87,62
2019-11,80,61
2019-12,74,66
2020-01,76,70
2020-02,86,77
2020-03,77,77
2020-04,82,84
2020-05,79,90
2020-06,83,94
2020-07,85,100
2020-08,79,100
2020-09,77,93
2020-10,55,74
2020-11,49,68
2020-12,50,69
2021-01,50,73
2021-02,53,77
2021-03,58,95
2021-04,56,84
2021-05,53,87
