Kategorie: Alle Kategorien

Monat,Flutter: (Weltweit),Apache Cordova: (Weltweit),React Native: (Weltweit),Xamarin: (Weltweit)
2010-01,6,4,0,0
2010-02,6,4,0,0
2010-03,6,4,0,<1
2010-04,6,6,0,0
2010-05,7,5,0,0
2010-06,6,5,0,0
2010-07,6,7,0,0
2010-08,4,7,0,0
2010-09,5,6,0,0
2010-10,5,7,0,<1
2010-11,5,7,0,0
2010-12,5,8,0,0
2011-01,5,7,0,0
2011-02,5,9,0,0
2011-03,5,11,0,<1
2011-04,6,12,0,0
2011-05,5,13,0,1
2011-06,5,14,0,<1
2011-07,5,14,0,1
2011-08,4,19,0,1
2011-09,5,16,0,1
2011-10,4,20,0,<1
2011-11,5,21,0,1
2011-12,5,18,0,1
2012-01,4,24,0,1
2012-02,5,27,0,1
2012-03,6,28,0,1
2012-04,6,28,0,1
2012-05,5,31,0,2
2012-06,4,31,0,1
2012-07,6,31,0,1
2012-08,4,31,0,1
2012-09,6,32,0,2
2012-10,6,33,0,2
2012-11,6,31,0,2
2012-12,5,27,0,2
2013-01,5,31,0,2
2013-02,6,30,0,4
2013-03,6,32,0,7
2013-04,5,33,0,8
2013-05,5,33,0,8
2013-06,5,32,0,8
2013-07,5,34,0,9
2013-08,4,36,0,8
2013-09,6,34,0,10
2013-10,9,38,0,11
2013-11,5,36,0,12
2013-12,6,31,0,10
2014-01,5,34,0,12
2014-02,6,39,0,12
2014-03,5,41,0,14
2014-04,6,40,0,15
2014-05,5,40,0,15
2014-06,5,38,0,17
2014-07,5,38,0,19
2014-08,6,36,0,18
2014-09,5,39,0,18
2014-10,5,41,<1,21
2014-11,5,37,0,21
2014-12,4,36,0,19
2015-01,5,36,1,22
2015-02,6,38,2,23
2015-03,5,38,2,23
2015-04,7,38,3,24
2015-05,5,39,3,24
2015-06,5,39,3,24
2015-07,4,39,3,25
2015-08,5,36,3,24
2015-09,5,36,5,26
2015-10,5,36,6,24
2015-11,6,37,6,24
2015-12,5,33,7,21
2016-01,4,35,9,23
2016-02,5,37,11,31
2016-03,4,37,13,30
2016-04,5,34,13,44
2016-05,5,33,16,40
2016-06,4,32,18,44
2016-07,4,30,18,40
2016-08,4,29,20,40
2016-09,4,29,21,40
2016-10,4,29,23,42
2016-11,5,31,28,46
2016-12,3,31,28,42
2017-01,4,30,31,47
2017-02,4,32,38,48
2017-03,5,32,44,50
2017-04,4,28,43,48
2017-05,6,30,47,47
2017-06,5,27,49,45
2017-07,4,26,51,42
2017-08,4,24,53,43
2017-09,5,25,54,41
2017-10,5,25,55,41
2017-11,5,26,60,43
2017-12,5,23,55,37
2018-01,5,23,62,39
2018-02,8,22,64,40
2018-03,15,22,67,40
2018-04,13,20,69,36
2018-05,17,20,71,37
2018-06,18,20,73,36
2018-07,19,19,73,35
2018-08,19,18,72,34
2018-09,18,17,70,34
2018-10,22,18,73,31
2018-11,22,17,70,31
2018-12,35,14,61,26
2019-01,33,16,68,28
2019-02,33,15,72,30
2019-03,39,15,73,27
2019-04,39,15,75,26
2019-05,48,15,77,29
2019-06,50,16,79,27
2019-07,56,15,87,28
2019-08,54,15,81,25
2019-09,61,15,84,29
2019-10,59,14,81,27
2019-11,59,13,75,26
2019-12,65,11,68,22
2020-01,66,12,75,24
2020-02,74,12,80,26
2020-03,73,11,73,25
2020-04,84,10,77,25
2020-05,87,10,75,22
2020-06,91,11,77,23
2020-07,100,10,83,22
2020-08,92,10,75,20
2020-09,91,10,77,20
2020-10,73,8,53,18
2020-11,68,7,48,15
2020-12,68,7,48,15
2021-01,70,6,48,15
2021-02,73,6,50,15
2021-03,91,6,55,16
2021-04,83,6,53,15
